018-04-17 00:46:12,013 - root - INFO - handle_data (18): 04 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 01 00 02 00
2018-04-17 12:29:54,171 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 12:29:59,277 - root - ERROR - parser1 error: Timed out, data=74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 13:00:33,831 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00
2018-04-17 13:31:13,561 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 03 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00
2018-04-17 14:01:53,353 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00
2018-04-17 14:32:33,139 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 02 00 04 00 03 00 04 00 03 00 05 00 04 00 05 00 04 00 05 00 05 00 06 00 05 00 06 00 06 00 06 00 06 00 07 00 07 00 07 00 07 00 07 00
2018-04-17 15:03:12,967 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 08 00 08 00 09 00 08 00 09 00 09 00 0a 00 09 00 0b 00 09 00 0b 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 15:33:52,767 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 16:04:32,629 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
2018-04-17 16:35:12,510 - root - INFO - handle_data (130): 74 00 01 01 1e 00 01 00 80 0c eb 2c 43 0a 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00 0c 00 0a 00
